language,author,title,length,unique
English,Shakespeare,A Midsummer Night's Dream,15237,4577
English,Shakespeare,Hamlet,26701,7299
English,Shakespeare,Macbeth,15779,5136
English,Shakespeare,Othello,24740,6313
English,Shakespeare,Richard III,34288,6219
English,Shakespeare,Romeo and Juliet,28593,5617
English,Shakespeare,The Merchant of Venice,19832,5198
French,Chevalier,L'enfer et le paradis de l'autre monde,39714,11078
French,Chevalier,L'åle de sable,69401,19444
French,Chevalier,La capitaine,43849,13415
French,Chevalier,La fille des indiens rouges,64813,18332
French,Chevalier,La fille du pirate,47372,15076
French,Chevalier,Le chasseur noir,49542,13348
French,Chevalier,Les derniers Iroquois,53217,16115
French,De maupassant,Boule de Suif,35326,11178
French,De maupassant,Claire de Lune,25279,8467
French,De maupassant,Contes de la Becasse,33637,10690
French,De maupassant,L'inutile beautÇ,36968,11088
French,De maupassant,La Main Gauche,33265,10240
French,De maupassant,La Maison Tellier,43323,12870
French,De maupassant,La petite roque,40041,11427
French,De maupassant,Le Horla,40261,11486
French,De maupassant,Œuvres complètes de Guy de Maupassant,52812,15829
French,Diderot,Ceci n'est pas un conte,10434,3896
French,Diderot,Entretien d'un päre avec ses enfants,10460,3961
French,Diderot,L'oiseau blanc,21127,6741
French,Diderot,Les deux amis de Bourbonne,8099,3157
French,Diderot,Regrets sur ma vieille robe de chambre,4793,2045
French,Sand,cora,12051,4568
French,Sand,Jacques le fataliste et son maåtre,84989,19899
French,Sand,L' Orco,8558,3326
French,Sand,La Coupe; Lupo Liverani; Le Toast; Garnier; Le Contrebandier; La Ràverie Ö Paris,45507,12994
French,Sand,La Marquise,14529,5064
French,Sand,Le Piccinino,151216,28371
French,Sand,Le poâme de Myrza,12565,4587
French,Sand,Mattea,20902,6720
French,Sand,Metella,19411,6020
French,Sand,Oeuvres illustrÇes de George Sand,22545,7858
French,Sand,Pauline,27441,8219
